reading_hours,attendance_rate,late_submission_rate,midterm_score,GPA
5,65,30,55,2.1
8,70,25,60,2.35
10,75,20,65,2.6
12,80,15,70,2.85
15,85,10,75,3.1
18,90,5,80,3.4
20,95,0,85,3.7
6,60,35,50,1.95
9,72,22,63,2.5
14,88,8,78,3.3
16,92,5,82,3.55
7,68,28,58,2.2
11,78,18,67,2.75
13,83,12,72,3
17,91,6,84,3.6
4,55,40,48,1.8
19,94,3,88,3.8
21,96,0,90,3.95
3,50,45,45,1.6
22,97,0,92,4
6,73,20,62,2.45
12,82,10,74,3.05
15,89,7,79,3.35
18,93,4,86,3.75
9,77,18,66,2.7
14,84,9,73,3.1
16,90,6,81,3.5
5,62,33,53,2.05
8,69,26,59,2.3
10,74,19,64,2.55
13,86,11,76,3.2
17,92,5,83,3.65
20,95,2,87,3.85
7,66,29,57,2.15
11,79,17,68,2.85
15,88,8,77,3.4
18,94,3,89,3.9
4,58,38,49,1.85
19,93,4,85,3.7
22,98,0,94,4
